2022-04-08 ; 14:27:15 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:16 ; gprssender ; INFO ; gprssender ; "gprs is working"
2022-04-08 ; 14:27:16 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:17 ; paypassreaders ; ERROR ; btConnectToDevice ; "Timeout"
2022-04-08 ; 14:27:17 ; paypassreaders ; ERROR ; bt ; "Failed to connect to MAC 886b0ff0f424"
2022-04-08 ; 14:27:17 ; gprssender ; INFO ; PingAS ; "Опрос СОД"
2022-04-08 ; 14:27:17 ; gprssender ; INFO ; openConnection ; "Соединяемся с узлом (debt.orgp.spb.ru:5000)"
2022-04-08 ; 14:27:17 ; consoled ; INFO ; modem ; "трафик in 0  out 65 байт"
2022-04-08 ; 14:27:18 ; wifid ; INFO ; wifid ; "Could not find G21"
2022-04-08 ; 14:27:18 ; networkd ; INFO ; setWifiStatus ; "Old wifistate 0, new status 0, WF_done=1111111111"
2022-04-08 ; 14:27:18 ; lapbManager ; INFO ; monitoring ; "Мониторинг не отвечает"
2022-04-08 ; 14:27:18 ; consoled ; INFO ; modem ; "трафик in 0  out 65 байт"
2022-04-08 ; 14:27:19 ; gprssender ; INFO ; openConnection ; "Соединение установлено"
2022-04-08 ; 14:27:19 ; smartpayARM ; INFO ; console ; "Я жив!"
2022-04-08 ; 14:27:19 ; consoled ; INFO ; modem ; "трафик in 100  out 218 байт"
2022-04-08 ; 14:27:20 ; gprssender ; ERROR ; sendPacket ; "The remote host closed the connection"
2022-04-08 ; 14:27:20 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №10; попытка 1"
2022-04-08 ; 14:27:20 ; gprssender ; ERROR ; PingAS ; "СОД не отвечает. Прошло 19823 сек"
2022-04-08 ; 14:27:20 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:27:20 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:27:20 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №10"
2022-04-08 ; 14:27:20 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №10. Команд конфигурации: 0"
2022-04-08 ; 14:27:20 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:27:20 ; paypassreaders ; INFO ; btRebootDevice ; "Перезагрузка Bluetooth: УСПЕХ"
2022-04-08 ; 14:27:20 ; consoled ; INFO ; modem ; "трафик in 103  out 89 байт"
2022-04-08 ; 14:27:21 ; paypassreaders ; INFO ; bt ; "Connecting to MAC 886b0ff0f424"
2022-04-08 ; 14:27:21 ; consoled ; INFO ; modem ; "трафик in 0  out 89 байт"
2022-04-08 ; 14:27:22 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:22 ; paypassreaders ; INFO ; tryConnectErizo ; "connected = NO"
2022-04-08 ; 14:27:23 ; paypassreaders ; INFO ; tryConnectErizo ; "connected!!!"
2022-04-08 ; 14:27:23 ; paypassreaders ; INFO ; erizoState ; "сам модуль 1, хост 1, черный список 0"
2022-04-08 ; 14:27:23 ; paypassreaders ; INFO ; queryTime ; "166"
2022-04-08 ; 14:27:23 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:24 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:25 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №10; попытка 1"
2022-04-08 ; 14:27:25 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:26 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:27:26 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:27:26 ; gprssender ; INFO ; gprssender ; "gprs is working"
2022-04-08 ; 14:27:26 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №10"
2022-04-08 ; 14:27:26 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №10. Команд конфигурации: 0"
2022-04-08 ; 14:27:26 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:27:26 ; paypassreaders ; ERROR ; btConnectToDevice ; "Timeout"
2022-04-08 ; 14:27:26 ; paypassreaders ; ERROR ; bt ; "Failed to connect to MAC 886b0ff0f424"
2022-04-08 ; 14:27:26 ; wifid ; INFO ; wifid ; "Could not find G21"
2022-04-08 ; 14:27:26 ; networkd ; INFO ; setWifiStatus ; "Old wifistate 0, new status 0, WF_done=1111111111"
2022-04-08 ; 14:27:26 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:27 ; gprssender ; INFO ; PingAS ; "Опрос СОД"
2022-04-08 ; 14:27:27 ; gprssender ; INFO ; openConnection ; "Соединяемся с узлом (debt.orgp.spb.ru:5000)"
2022-04-08 ; 14:27:27 ; consoled ; INFO ; modem ; "трафик in 0  out 65 байт"
2022-04-08 ; 14:27:28 ; consoled ; INFO ; modem ; "трафик in 0  out 65 байт"
2022-04-08 ; 14:27:29 ; paypassreaders ; INFO ; btRebootDevice ; "Перезагрузка Bluetooth: УСПЕХ"
2022-04-08 ; 14:27:29 ; consoled ; INFO ; modem ; "трафик in 0  out 89 байт"
2022-04-08 ; 14:27:30 ; paypassreaders ; INFO ; bt ; "Connecting to MAC 886b0ff0f424"
2022-04-08 ; 14:27:30 ; consoled ; INFO ; modem ; "трафик in 0  out 152 байт"
2022-04-08 ; 14:27:31 ; consoled ; INFO ; modem ; "трафик in 0  out 89 байт"
2022-04-08 ; 14:27:31 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №12; попытка 1"
2022-04-08 ; 14:27:32 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:27:32 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:27:32 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №12"
2022-04-08 ; 14:27:32 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №12. Команд конфигурации: 0"
2022-04-08 ; 14:27:32 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:27:32 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:33 ; paypassreaders ; INFO ; tryConnectErizo ; "connected = NO"
2022-04-08 ; 14:27:33 ; paypassreaders ; INFO ; tryConnectErizo ; "connected!!!"
2022-04-08 ; 14:27:33 ; paypassreaders ; INFO ; erizoState ; "сам модуль 1, хост 1, черный список 0"
2022-04-08 ; 14:27:33 ; paypassreaders ; INFO ; queryTime ; "166"
2022-04-08 ; 14:27:33 ; lapbManager ; INFO ; monitoring ; "Мониторинг не отвечает"
2022-04-08 ; 14:27:33 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:34 ; consoled ; INFO ; modem ; "трафик in 0  out 65 байт"
2022-04-08 ; 14:27:35 ; paypassreaders ; ERROR ; btConnectToDevice ; "Timeout"
2022-04-08 ; 14:27:35 ; paypassreaders ; ERROR ; bt ; "Failed to connect to MAC 886b0ff0f424"
2022-04-08 ; 14:27:35 ; wifid ; INFO ; wifid ; "Could not find G21"
2022-04-08 ; 14:27:35 ; networkd ; INFO ; setWifiStatus ; "Old wifistate 0, new status 0, WF_done=1111111111"
2022-04-08 ; 14:27:35 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:36 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:37 ; gprssender ; ERROR ; openConnection ; "Ошибка соединения: Socket operation timed out"
2022-04-08 ; 14:27:37 ; consoled ; INFO ; modem ; "трафик in 0  out 66 байт"
2022-04-08 ; 14:27:37 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №14; попытка 1"
2022-04-08 ; 14:27:37 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:27:37 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:27:38 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №14"
2022-04-08 ; 14:27:38 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №14. Команд конфигурации: 0"
2022-04-08 ; 14:27:38 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:27:38 ; paypassreaders ; INFO ; btRebootDevice ; "Перезагрузка Bluetooth: УСПЕХ"
2022-04-08 ; 14:27:38 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:39 ; paypassreaders ; INFO ; bt ; "Connecting to MAC 886b0ff0f424"
2022-04-08 ; 14:27:39 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:40 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:40 ; router ; INFO ; geo ; "Пришла координата: $GPRMC,112740.000,A,5951.20665,N,03028.80275,E,46.4,256.7,080422,,,A*5D"
2022-04-08 ; 14:27:41 ; paypassreaders ; INFO ; GPRS ; "GPRS status changed to OFF"
2022-04-08 ; 14:27:41 ; smartpayARM ; INFO ; logd ; "Я жив!"
2022-04-08 ; 14:27:41 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:27:42 ; smartpayARM ; INFO ; gprssender ; "Я жив!"
2022-04-08 ; 14:27:42 ; paypassreaders ; INFO ; tryConnectErizo ; "connected = NO"
2022-04-08 ; 14:27:42 ; consoled ; INFO ; modem ; "трафик in 267  out 0 байт"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; tryConnectErizo ; "connected!!!"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; erizoState ; "сам модуль 1, хост 1, черный список 0"
2022-04-08 ; 14:27:43 ; smartpayARM ; INFO ; paypassreaders ; "Я жив!"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; queryTime ; "163"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Да, Number - 10"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Нет, Number - 11"
2022-04-08 ; 14:27:43 ; gprssender ; INFO ; gprssender ; "gprs is working"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Нет, Number - 12"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Нет, Number - 13"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Нет, Number - 14"
2022-04-08 ; 14:27:43 ; consoled ; INFO ; modem ; "трафик in 406  out 90 байт"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №12; попытка 1"
2022-04-08 ; 14:27:43 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:27:44 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:27:44 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №12"
2022-04-08 ; 14:27:44 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №12. Команд конфигурации: 0"
2022-04-08 ; 14:27:44 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:27:44 ; gprssender ; INFO ; PingAS ; "Опрос СОД"
2022-04-08 ; 14:27:44 ; gprssender ; INFO ; openConnection ; "Соединяемся с узлом (debt.orgp.spb.ru:5000)"
2022-04-08 ; 14:27:44 ; gprssender ; INFO ; openConnection ; "Соединение установлено"
2022-04-08 ; 14:27:44 ; paypassreaders ; ERROR ; btConnectToDevice ; "Timeout"
2022-04-08 ; 14:27:44 ; paypassreaders ; ERROR ; bt ; "Failed to connect to MAC 886b0ff0f424"
2022-04-08 ; 14:27:44 ; wifid ; INFO ; wifid ; "Could not find G21"
2022-04-08 ; 14:27:44 ; networkd ; INFO ; setWifiStatus ; "Old wifistate 0, new status 0, WF_done=1111111111"
2022-04-08 ; 14:27:44 ; smartpayARM ; INFO ; wifid ; "Я жив!"
2022-04-08 ; 14:27:44 ; consoled ; INFO ; modem ; "трафик in 127  out 194 байт"
2022-04-08 ; 14:27:45 ; gprssender ; ERROR ; sendPacket ; "The remote host closed the connection"
2022-04-08 ; 14:27:45 ; gprssender ; ERROR ; PingAS ; "СОД не отвечает. Прошло 19850 сек"
2022-04-08 ; 14:27:45 ; consoled ; INFO ; modem ; "трафик in 47  out 0 байт"
