;0;1;5
11747;2022-04-08 ; 04:06:20 ;" ""Пришла координата: $GPRMC,010620.000,A,5956.09088,N,03020.88369,E,22.4,2.8,080422,,,A*52"""
11841;2022-04-08 ; 04:06:45 ;" ""Пришла координата: $GPRMC,010645.000,A,5956.16332,N,03020.88738,E,15.3,1.6,080422,,,A*53"""
11926;2022-04-08 ; 04:07:10 ;" ""Пришла координата: $GPRMC,010710.000,A,5956.35153,N,03020.89480,E,34.1,1.5,080422,,,A*55"""
12011;2022-04-08 ; 04:07:35 ;" ""Пришла координата: $GPRMC,010735.000,A,5956.57909,N,03020.90935,E,31.9,1.1,080422,,,A*53"""
12100;2022-04-08 ; 04:08:00 ;" ""Пришла координата: $GPRMC,010800.000,A,5956.78231,N,03020.93111,E,11.2,17.9,080422,,,A*6C"""
12189;2022-04-08 ; 04:08:25 ;" ""Пришла координата: $GPRMC,010825.000,A,5956.78483,N,03020.93528,E,0.1,0.0,080422,,,A*66"""
12278;2022-04-08 ; 04:08:50 ;" ""Пришла координата: $GPRMC,010850.000,A,5956.88046,N,03020.93511,E,28.6,1.6,080422,,,A*56"""
12372;2022-04-08 ; 04:09:15 ;" ""Пришла координата: $GPRMC,010915.000,A,5957.09299,N,03020.97229,E,32.1,6.7,080422,,,A*5C"""
12451;2022-04-08 ; 04:09:40 ;" ""Пришла координата: $GPRMC,010940.000,A,5957.23846,N,03021.04267,E,14.1,105.5,080422,,,A*59"""
12547;2022-04-08 ; 04:10:05 ;" ""Пришла координата: $GPRMC,011005.000,A,5957.21660,N,03021.05062,E,28.9,280.3,080422,,,A*51"""
12626;2022-04-08 ; 04:10:30 ;" ""Пришла координата: $GPRMC,011030.000,A,5957.29058,N,03020.60550,E,33.9,297.9,080422,,,A*52"""
12719;2022-04-08 ; 04:10:55 ;" ""Пришла координата: $GPRMC,011055.000,A,5957.50778,N,03020.36681,E,39.7,342.8,080422,,,A*5A"""
12809;2022-04-08 ; 04:11:20 ;" ""Пришла координата: $GPRMC,011120.000,A,5957.78403,N,03020.29244,E,41.8,355.1,080422,,,A*50"""
12901;2022-04-08 ; 04:11:45 ;" ""Пришла координата: $GPRMC,011145.000,A,5958.05386,N,03020.23821,E,38.1,347.6,080422,,,A*5C"""
12987;2022-04-08 ; 04:12:10 ;" ""Пришла координата: $GPRMC,011210.000,A,5958.30149,N,03020.12044,E,34.0,344.4,080422,,,A*5D"""
13069;2022-04-08 ; 04:12:35 ;" ""Пришла координата: $GPRMC,011235.000,A,5958.52012,N,03019.87622,E,36.6,327.6,080422,,,A*52"""
13156;2022-04-08 ; 04:13:01 ;" ""Пришла координата: $GPRMC,011300.000,A,5958.70938,N,03019.54295,E,36.0,312.8,080422,,,A*5C"""
13243;2022-04-08 ; 04:13:25 ;" ""Пришла координата: $GPRMC,011325.000,A,5958.80965,N,03019.57155,E,24.6,48.0,080422,,,A*61"""
13343;2022-04-08 ; 04:13:50 ;" ""Пришла координата: $GPRMC,011350.000,A,5958.91753,N,03019.77177,E,25.9,47.3,080422,,,A*68"""
13427;2022-04-08 ; 04:14:15 ;" ""Пришла координата: $GPRMC,011415.000,A,5959.03187,N,03020.03552,E,14.5,54.0,080422,,,A*6E"""
13510;2022-04-08 ; 04:14:40 ;" ""Пришла координата: $GPRMC,011440.000,A,5959.05814,N,03020.10864,E,9.9,59.4,080422,,,A*58"""
13604;2022-04-08 ; 04:15:05 ;" ""Пришла координата: $GPRMC,011505.000,A,5959.22013,N,03020.05796,E,28.6,347.6,080422,,,A*56"""
13685;2022-04-08 ; 04:15:30 ;" ""Пришла координата: $GPRMC,011530.000,A,5959.28894,N,03020.03038,E,1.1,351.0,080422,,,A*65"""
13779;2022-04-08 ; 04:15:55 ;" ""Пришла координата: $GPRMC,011555.000,A,5959.44327,N,03019.96622,E,35.1,350.4,080422,,,A*56"""
13866;2022-04-08 ; 04:16:20 ;" ""Пришла координата: $GPRMC,011620.000,A,5959.63699,N,03019.88417,E,15.4,347.5,080422,,,A*59"""
13957;2022-04-08 ; 04:16:45 ;" ""Пришла координата: $GPRMC,011645.000,A,5959.66566,N,03019.87610,E,0.1,0.0,080422,,,A*62"""
14039;2022-04-08 ; 04:17:10 ;" ""Пришла координата: $GPRMC,011710.000,A,5959.73200,N,03019.85120,E,24.0,349.8,080422,,,A*57"""
14128;2022-04-08 ; 04:17:35 ;" ""Пришла координата: $GPRMC,011735.000,A,5959.89768,N,03019.78608,E,29.5,349.2,080422,,,A*53"""
14216;2022-04-08 ; 04:18:00 ;" ""Пришла координата: $GPRMC,011800.000,A,6000.11739,N,03019.69873,E,28.1,347.4,080422,,,A*56"""
14302;2022-04-08 ; 04:18:25 ;" ""Пришла координата: $GPRMC,011825.000,A,6000.24773,N,03019.64977,E,26.1,349.0,080422,,,A*55"""
14399;2022-04-08 ; 04:18:50 ;" ""Пришла координата: $GPRMC,011850.000,A,6000.46751,N,03019.56078,E,38.4,348.7,080422,,,A*58"""
14480;2022-04-08 ; 04:19:15 ;" ""Пришла координата: $GPRMC,011915.000,A,6000.64924,N,03019.49434,E,11.6,347.5,080422,,,A*52"""
14566;2022-04-08 ; 04:19:40 ;" ""Пришла координата: $GPRMC,011940.000,A,6000.85384,N,03019.40545,E,37.3,348.3,080422,,,A*5B"""
14655;2022-04-08 ; 04:20:05 ;" ""Пришла координата: $GPRMC,012005.000,A,6001.01169,N,03019.35138,E,0.2,0.0,080422,,,A*69"""
14738;2022-04-08 ; 04:20:30 ;" ""Пришла координата: $GPRMC,012030.000,A,6001.11331,N,03019.30837,E,31.1,349.0,080422,,,A*5D"""
14830;2022-04-08 ; 04:20:55 ;" ""Пришла координата: $GPRMC,012055.000,A,6001.34975,N,03019.20863,E,38.0,349.6,080422,,,A*5D"""
14923;2022-04-08 ; 04:21:20 ;" ""Пришла координата: $GPRMC,012120.000,A,6001.54736,N,03019.12750,E,35.3,354.1,080422,,,A*5A"""
15011;2022-04-08 ; 04:21:45 ;" ""Пришла координата: $GPRMC,012145.000,A,6001.81006,N,03019.20462,E,34.7,10.5,080422,,,A*64"""
15095;2022-04-08 ; 04:22:10 ;" ""Пришла координата: $GPRMC,012210.000,A,6002.04308,N,03019.24311,E,34.5,354.9,080422,,,A*5E"""
15183;2022-04-08 ; 04:22:35 ;" ""Пришла координата: $GPRMC,012235.000,A,6002.31038,N,03019.10863,E,39.7,342.9,080422,,,A*5E"""
15271;2022-04-08 ; 04:23:00 ;" ""Пришла координата: $GPRMC,012300.000,A,6002.55509,N,03018.96482,E,25.3,343.1,080422,,,A*50"""
15361;2022-04-08 ; 04:23:25 ;" ""Пришла координата: $GPRMC,012325.000,A,6002.60342,N,03018.93571,E,0.2,0.0,080422,,,A*63"""
15451;2022-04-08 ; 04:23:50 ;" ""Пришла координата: $GPRMC,012350.000,A,6002.65871,N,03018.90402,E,27.7,344.1,080422,,,A*5B"""
15541;2022-04-08 ; 04:24:15 ;" ""Пришла координата: $GPRMC,012415.000,A,6002.91109,N,03018.75222,E,42.4,343.4,080422,,,A*5D"""
15620;2022-04-08 ; 04:24:40 ;" ""Пришла координата: $GPRMC,012440.000,A,6003.17512,N,03018.60142,E,39.0,343.8,080422,,,A*59"""
15712;2022-04-08 ; 04:25:05 ;" ""Пришла координата: $GPRMC,012505.000,A,6003.44327,N,03018.43200,E,41.6,339.7,080422,,,A*50"""
