;0;1;5
80354;2022-04-08 ; 09:14:15 ;" ""Пришла координата: $GPRMC,061415.000,A,6007.13293,N,03008.85561,E,0.1,0.0,080422,,,A*6B"""
80448;2022-04-08 ; 09:14:40 ;" ""Пришла координата: $GPRMC,061440.000,A,6007.13309,N,03008.85493,E,0.1,0.0,080422,,,A*65"""
80552;2022-04-08 ; 09:15:05 ;" ""Пришла координата: $GPRMC,061505.000,A,6007.13309,N,03008.85493,E,0.1,0.0,080422,,,A*65"""
80645;2022-04-08 ; 09:15:30 ;" ""Пришла координата: $GPRMC,061530.000,A,6007.13318,N,03008.85498,E,0.1,0.0,080422,,,A*68"""
80748;2022-04-08 ; 09:15:55 ;" ""Пришла координата: $GPRMC,061555.000,A,6007.13333,N,03008.85495,E,0.0,0.0,080422,,,A*6E"""
80851;2022-04-08 ; 09:16:20 ;" ""Пришла координата: $GPRMC,061620.000,A,6007.13333,N,03008.85495,E,0.0,0.0,080422,,,A*6F"""
80952;2022-04-08 ; 09:16:45 ;" ""Пришла координата: $GPRMC,061645.000,A,6007.13367,N,03008.85425,E,0.1,0.0,080422,,,A*67"""
81046;2022-04-08 ; 09:17:10 ;" ""Пришла координата: $GPRMC,061710.000,A,6007.13367,N,03008.85425,E,0.1,0.0,080422,,,A*66"""
81145;2022-04-08 ; 09:17:35 ;" ""Пришла координата: $GPRMC,061735.000,A,6007.13393,N,03008.85431,E,0.0,0.0,080422,,,A*6E"""
81249;2022-04-08 ; 09:18:00 ;" ""Пришла координата: $GPRMC,061800.000,A,6007.13425,N,03008.85380,E,0.0,0.0,080422,,,A*60"""
81346;2022-04-08 ; 09:18:25 ;" ""Пришла координата: $GPRMC,061825.000,A,6007.13425,N,03008.85380,E,0.1,0.0,080422,,,A*66"""
81451;2022-04-08 ; 09:18:50 ;" ""Пришла координата: $GPRMC,061850.000,A,6007.13415,N,03008.85385,E,0.1,0.0,080422,,,A*62"""
81549;2022-04-08 ; 09:19:15 ;" ""Пришла координата: $GPRMC,061915.000,A,6007.13432,N,03008.85376,E,0.8,297.0,080422,,,A*6E"""
81640;2022-04-08 ; 09:19:40 ;" ""Пришла координата: $GPRMC,061940.000,A,6007.13806,N,03008.84204,E,0.1,0.0,080422,,,A*65"""
81746;2022-04-08 ; 09:20:05 ;" ""Пришла координата: $GPRMC,062005.000,A,6007.13810,N,03008.84218,E,0.0,0.0,080422,,,A*65"""
81843;2022-04-08 ; 09:20:30 ;" ""Пришла координата: $GPRMC,062030.000,A,6007.13810,N,03008.84218,E,0.1,0.0,080422,,,A*62"""
81946;2022-04-08 ; 09:20:55 ;" ""Пришла координата: $GPRMC,062055.000,A,6007.13802,N,03008.84199,E,0.1,0.0,080422,,,A*68"""
82050;2022-04-08 ; 09:21:20 ;" ""Пришла координата: $GPRMC,062120.000,A,6007.13802,N,03008.84199,E,0.1,0.0,080422,,,A*6B"""
82150;2022-04-08 ; 09:21:45 ;" ""Пришла координата: $GPRMC,062145.000,A,6007.13800,N,03008.84182,E,0.0,0.0,080422,,,A*61"""
82243;2022-04-08 ; 09:22:10 ;" ""Пришла координата: $GPRMC,062210.000,A,6007.13820,N,03008.84160,E,0.1,0.0,080422,,,A*6D"""
82387;2022-04-08 ; 09:22:42 ;" ""Пришла координата: $GPRMC,062240.000,A,6007.11712,N,03008.85917,E,5.2,101.2,080422,,,A*69"""
82501;2022-04-08 ; 09:23:05 ;" ""Пришла координата: $GPRMC,062305.000,A,6007.12547,N,03008.89212,E,0.1,0.0,080422,,,A*6E"""
82636;2022-04-08 ; 09:23:30 ;" ""Пришла координата: $GPRMC,062330.000,A,6007.15990,N,03008.91701,E,14.6,28.2,080422,,,A*6D"""
82761;2022-04-08 ; 09:23:55 ;" ""Пришла координата: $GPRMC,062355.000,A,6007.22017,N,03009.04892,E,13.4,51.5,080422,,,A*68"""
82861;2022-04-08 ; 09:24:20 ;" ""Пришла координата: $GPRMC,062420.000,A,6007.28349,N,03009.21747,E,16.8,51.8,080422,,,A*6B"""
82959;2022-04-08 ; 09:24:45 ;" ""Пришла координата: $GPRMC,062445.000,A,6007.31908,N,03009.30455,E,3.3,49.0,080422,,,A*51"""
83072;2022-04-08 ; 09:25:10 ;" ""Пришла координата: $GPRMC,062510.000,A,6007.33183,N,03009.34116,E,4.9,50.1,080422,,,A*5B"""
83170;2022-04-08 ; 09:25:35 ;" ""Пришла координата: $GPRMC,062535.000,A,6007.40479,N,03009.52512,E,18.5,51.7,080422,,,A*6E"""
83270;2022-04-08 ; 09:26:00 ;" ""Пришла координата: $GPRMC,062600.000,A,6007.44771,N,03009.63824,E,5.7,79.1,080422,,,A*5C"""
83364;2022-04-08 ; 09:26:25 ;" ""Пришла координата: $GPRMC,062625.000,A,6007.42156,N,03009.67430,E,0.1,0.0,080422,,,A*6F"""
83476;2022-04-08 ; 09:26:50 ;" ""Пришла координата: $GPRMC,062650.000,A,6007.41967,N,03009.67971,E,2.9,131.9,080422,,,A*6C"""
83584;2022-04-08 ; 09:27:15 ;" ""Пришла координата: $GPRMC,062715.000,A,6007.34103,N,03009.80388,E,18.9,142.7,080422,,,A*50"""
83673;2022-04-08 ; 09:27:40 ;" ""Пришла координата: $GPRMC,062740.000,A,6007.25812,N,03010.02388,E,19.5,112.4,080422,,,A*50"""
83775;2022-04-08 ; 09:28:05 ;" ""Пришла координата: $GPRMC,062805.000,A,6007.23343,N,03010.14037,E,9.4,124.1,080422,,,A*67"""
83882;2022-04-08 ; 09:28:30 ;" ""Пришла координата: $GPRMC,062830.000,A,6007.22841,N,03010.16174,E,1.5,96.0,080422,,,A*5D"""
83992;2022-04-08 ; 09:28:55 ;" ""Пришла координата: $GPRMC,062855.000,A,6007.20005,N,03010.31374,E,19.3,111.3,080422,,,A*51"""
84108;2022-04-08 ; 09:29:20 ;" ""Пришла координата: $GPRMC,062920.000,A,6007.14668,N,03010.57888,E,17.2,117.3,080422,,,A*59"""
84223;2022-04-08 ; 09:29:45 ;" ""Пришла координата: $GPRMC,062945.000,A,6007.13466,N,03010.62524,E,0.1,0.0,080422,,,A*6D"""
84353;2022-04-08 ; 09:30:10 ;" ""Пришла координата: $GPRMC,063010.000,A,6007.10826,N,03010.76458,E,18.0,110.9,080422,,,A*50"""
84466;2022-04-08 ; 09:30:35 ;" ""Пришла координата: $GPRMC,063035.000,A,6007.06050,N,03011.03380,E,21.4,104.7,080422,,,A*5D"""
84563;2022-04-08 ; 09:31:00 ;" ""Пришла координата: $GPRMC,063100.000,A,6007.04082,N,03011.21515,E,1.3,83.4,080422,,,A*55"""
84704;2022-04-08 ; 09:31:25 ;" ""Пришла координата: $GPRMC,063125.000,A,6007.04069,N,03011.21724,E,0.1,0.0,080422,,,A*6B"""
84834;2022-04-08 ; 09:31:50 ;" ""Пришла координата: $GPRMC,063150.000,A,6007.04068,N,03011.21761,E,1.7,46.6,080422,,,A*5A"""
84934;2022-04-08 ; 09:32:15 ;" ""Пришла координата: $GPRMC,063215.000,A,6007.04138,N,03011.30350,E,10.2,93.5,080422,,,A*64"""
85029;2022-04-08 ; 09:32:40 ;" ""Пришла координата: $GPRMC,063240.000,A,6007.03749,N,03011.43688,E,18.6,94.8,080422,,,A*61"""
85132;2022-04-08 ; 09:33:05 ;" ""Пришла координата: $GPRMC,063305.000,A,6007.02805,N,03011.73083,E,5.6,91.4,080422,,,A*5C"""
85240;2022-04-08 ; 09:33:30 ;" ""Пришла координата: $GPRMC,063330.000,A,6007.02852,N,03011.75547,E,8.8,84.2,080422,,,A*52"""
85344;2022-04-08 ; 09:33:55 ;" ""Пришла координата: $GPRMC,063355.000,A,6007.02285,N,03012.04840,E,26.7,93.5,080422,,,A*6C"""
85444;2022-04-08 ; 09:34:20 ;" ""Пришла координата: $GPRMC,063420.000,A,6007.01010,N,03012.46318,E,30.1,97.5,080422,,,A*61"""
85547;2022-04-08 ; 09:34:45 ;" ""Пришла координата: $GPRMC,063445.000,A,6006.95306,N,03012.81692,E,22.4,108.9,080422,,,A*5B"""
85636;2022-04-08 ; 09:35:10 ;" ""Пришла координата: $GPRMC,063510.000,A,6006.93940,N,03012.88640,E,3.2,103.5,080422,,,A*60"""
85738;2022-04-08 ; 09:35:35 ;" ""Пришла координата: $GPRMC,063535.000,A,6006.89053,N,03013.16960,E,33.0,109.3,080422,,,A*51"""
85841;2022-04-08 ; 09:36:00 ;" ""Пришла координата: $GPRMC,063600.000,A,6006.83383,N,03013.58233,E,28.5,102.0,080422,,,A*50"""
85936;2022-04-08 ; 09:36:25 ;" ""Пришла координата: $GPRMC,063625.000,A,6006.81896,N,03013.88289,E,2.6,96.3,080422,,,A*52"""
86055;2022-04-08 ; 09:36:50 ;" ""Пришла координата: $GPRMC,063650.000,A,6006.82163,N,03013.90239,E,11.1,97.4,080422,,,A*61"""
86154;2022-04-08 ; 09:37:15 ;" ""Пришла координата: $GPRMC,063715.000,A,6006.81451,N,03014.19608,E,5.5,92.5,080422,,,A*53"""
86249;2022-04-08 ; 09:37:40 ;" ""Пришла координата: $GPRMC,063740.000,A,6006.80828,N,03014.36035,E,8.7,90.6,080422,,,A*5B"""
86352;2022-04-08 ; 09:38:05 ;" ""Пришла координата: $GPRMC,063805.000,A,6006.80781,N,03014.37220,E,0.0,0.0,080422,,,A*6E"""
86449;2022-04-08 ; 09:38:30 ;" ""Пришла координата: $GPRMC,063830.000,A,6006.80791,N,03014.37227,E,0.0,0.0,080422,,,A*6E"""
86553;2022-04-08 ; 09:38:55 ;" ""Пришла координата: $GPRMC,063855.000,A,6006.76802,N,03014.43954,E,22.8,156.2,080422,,,A*55"""
86649;2022-04-08 ; 09:39:20 ;" ""Пришла координата: $GPRMC,063920.000,A,6006.58752,N,03014.60283,E,20.8,153.4,080422,,,A*51"""
86766;2022-04-08 ; 09:39:45 ;" ""Пришла координата: $GPRMC,063945.000,A,6006.54433,N,03014.64262,E,0.1,0.0,080422,,,A*69"""
86864;2022-04-08 ; 09:40:10 ;" ""Пришла координата: $GPRMC,064010.000,A,6006.54433,N,03014.64262,E,0.0,0.0,080422,,,A*66"""
86960;2022-04-08 ; 09:40:35 ;" ""Пришла координата: $GPRMC,064035.000,A,6006.52256,N,03014.66225,E,11.8,158.0,080422,,,A*57"""
87057;2022-04-08 ; 09:41:00 ;" ""Пришла координата: $GPRMC,064100.000,A,6006.39857,N,03014.77209,E,19.5,155.9,080422,,,A*59"""
87157;2022-04-08 ; 09:41:25 ;" ""Пришла координата: $GPRMC,064125.000,A,6006.32367,N,03014.83534,E,0.3,177.4,080422,,,A*6C"""
87263;2022-04-08 ; 09:41:50 ;" ""Пришла координата: $GPRMC,064150.000,A,6006.25755,N,03014.88278,E,13.1,164.1,080422,,,A*5E"""
87362;2022-04-08 ; 09:42:15 ;" ""Пришла координата: $GPRMC,064215.000,A,6006.23926,N,03014.89537,E,4.5,147.0,080422,,,A*6F"""
87457;2022-04-08 ; 09:42:40 ;" ""Пришла координата: $GPRMC,064240.000,A,6006.09242,N,03015.01704,E,32.4,159.1,080422,,,A*57"""
87560;2022-04-08 ; 09:43:05 ;" ""Пришла координата: $GPRMC,064305.000,A,6005.87103,N,03015.18416,E,32.6,158.8,080422,,,A*56"""
87655;2022-04-08 ; 09:43:30 ;" ""Пришла координата: $GPRMC,064330.000,A,6005.67074,N,03015.33451,E,23.0,159.3,080422,,,A*59"""
87757;2022-04-08 ; 09:43:55 ;" ""Пришла координата: $GPRMC,064355.000,A,6005.57813,N,03015.40500,E,15.9,159.4,080422,,,A*5A"""
87858;2022-04-08 ; 09:44:20 ;" ""Пришла координата: $GPRMC,064420.000,A,6005.44361,N,03015.50873,E,21.9,160.1,080422,,,A*53"""
87961;2022-04-08 ; 09:44:45 ;" ""Пришла координата: $GPRMC,064445.000,A,6005.31172,N,03015.60349,E,12.4,160.3,080422,,,A*5C"""
88055;2022-04-08 ; 09:45:10 ;" ""Пришла координата: $GPRMC,064510.000,A,6005.26935,N,03015.63204,E,10.3,159.2,080422,,,A*55"""
88153;2022-04-08 ; 09:45:35 ;" ""Пришла координата: $GPRMC,064535.000,A,6005.10933,N,03015.75279,E,34.8,159.9,080422,,,A*5A"""
88257;2022-04-08 ; 09:46:00 ;" ""Пришла координата: $GPRMC,064600.000,A,6004.91139,N,03015.81620,E,28.1,187.6,080422,,,A*5E"""
88369;2022-04-08 ; 09:46:25 ;" ""Пришла координата: $GPRMC,064625.000,A,6004.76109,N,03015.93193,E,8.6,135.5,080422,,,A*60"""
88470;2022-04-08 ; 09:46:50 ;" ""Пришла координата: $GPRMC,064650.000,A,6004.75782,N,03015.93994,E,0.1,0.0,080422,,,A*66"""
88570;2022-04-08 ; 09:47:15 ;" ""Пришла координата: $GPRMC,064715.000,A,6004.70715,N,03016.06743,E,25.7,126.5,080422,,,A*57"""
88662;2022-04-08 ; 09:47:40 ;" ""Пришла координата: $GPRMC,064740.000,A,6004.58459,N,03016.39404,E,24.2,127.1,080422,,,A*5B"""
88770;2022-04-08 ; 09:48:05 ;" ""Пришла координата: $GPRMC,064805.000,A,6004.53407,N,03016.52276,E,0.3,298.1,080422,,,A*6B"""
88877;2022-04-08 ; 09:48:30 ;" ""Пришла координата: $GPRMC,064830.000,A,6004.47367,N,03016.69027,E,25.3,127.8,080422,,,A*5E"""
88972;2022-04-08 ; 09:48:55 ;" ""Пришла координата: $GPRMC,064855.000,A,6004.38353,N,03016.93010,E,8.6,127.6,080422,,,A*67"""
89077;2022-04-08 ; 09:49:20 ;" ""Пришла координата: $GPRMC,064920.000,A,6004.36446,N,03016.98135,E,15.1,127.3,080422,,,A*5A"""
89178;2022-04-08 ; 09:49:45 ;" ""Пришла координата: $GPRMC,064945.000,A,6004.28014,N,03017.19807,E,2.5,117.6,080422,,,A*61"""
89261;2022-04-08 ; 09:50:10 ;" ""Пришла координата: $GPRMC,065010.000,A,6004.27176,N,03017.22803,E,13.7,125.3,080422,,,A*59"""
89360;2022-04-08 ; 09:50:35 ;" ""Пришла координата: $GPRMC,065035.000,A,6004.16026,N,03017.52810,E,30.5,125.5,080422,,,A*58"""
89455;2022-04-08 ; 09:51:00 ;" ""Пришла координата: $GPRMC,065100.000,A,6004.10327,N,03017.68359,E,0.1,0.0,080422,,,A*60"""
89553;2022-04-08 ; 09:51:25 ;" ""Пришла координата: $GPRMC,065125.000,A,6004.09302,N,03017.70454,E,5.3,138.5,080422,,,A*63"""
89662;2022-04-08 ; 09:51:50 ;" ""Пришла координата: $GPRMC,065150.000,A,6004.06704,N,03017.77212,E,10.6,132.7,080422,,,A*56"""
89759;2022-04-08 ; 09:52:15 ;" ""Пришла координата: $GPRMC,065215.000,A,6004.05311,N,03017.80339,E,3.5,108.5,080422,,,A*6D"""
89851;2022-04-08 ; 09:52:40 ;" ""Пришла координата: $GPRMC,065240.000,A,6004.05108,N,03017.80844,E,0.1,0.0,080422,,,A*6D"""
89958;2022-04-08 ; 09:53:05 ;" ""Пришла координата: $GPRMC,065305.000,A,6004.04657,N,03017.82247,E,11.6,124.5,080422,,,A*5F"""
90055;2022-04-08 ; 09:53:30 ;" ""Пришла координата: $GPRMC,065330.000,A,6003.90425,N,03018.05166,E,34.9,146.1,080422,,,A*5C"""
90154;2022-04-08 ; 09:53:55 ;" ""Пришла координата: $GPRMC,065355.000,A,6003.71639,N,03018.20745,E,17.3,160.5,080422,,,A*54"""
90251;2022-04-08 ; 09:54:20 ;" ""Пришла координата: $GPRMC,065420.000,A,6003.69754,N,03018.22137,E,4.1,154.9,080422,,,A*68"""
90358;2022-04-08 ; 09:54:45 ;" ""Пришла координата: $GPRMC,065445.000,A,6003.60126,N,03018.29726,E,10.4,159.9,080422,,,A*51"""
90444;2022-04-08 ; 09:55:10 ;" ""Пришла координата: $GPRMC,065510.000,A,6003.58456,N,03018.30880,E,0.1,0.0,080422,,,A*62"""
90544;2022-04-08 ; 09:55:35 ;" ""Пришла координата: $GPRMC,065535.000,A,6003.55554,N,03018.33078,E,18.7,160.5,080422,,,A*5A"""
90644;2022-04-08 ; 09:56:00 ;" ""Пришла координата: $GPRMC,065600.000,A,6003.37878,N,03018.45713,E,26.8,160.0,080422,,,A*54"""
90744;2022-04-08 ; 09:56:25 ;" ""Пришла координата: $GPRMC,065625.000,A,6003.18493,N,03018.57258,E,30.2,164.4,080422,,,A*53"""
90846;2022-04-08 ; 09:56:50 ;" ""Пришла координата: $GPRMC,065650.000,A,6003.00204,N,03018.68197,E,28.1,161.4,080422,,,A*53"""
90941;2022-04-08 ; 09:57:15 ;" ""Пришла координата: $GPRMC,065715.000,A,6002.80487,N,03018.80047,E,26.3,163.8,080422,,,A*5F"""
91038;2022-04-08 ; 09:57:40 ;" ""Пришла координата: $GPRMC,065740.000,A,6002.65977,N,03018.88591,E,16.3,163.6,080422,,,A*5D"""
91142;2022-04-08 ; 09:58:05 ;" ""Пришла координата: $GPRMC,065805.000,A,6002.63111,N,03019.00411,E,19.2,73.7,080422,,,A*6A"""
91236;2022-04-08 ; 09:58:30 ;" ""Пришла координата: $GPRMC,065830.000,A,6002.65635,N,03019.17639,E,0.1,0.0,080422,,,A*6D"""
91339;2022-04-08 ; 09:58:55 ;" ""Пришла координата: $GPRMC,065855.000,A,6002.66540,N,03019.24745,E,22.1,73.3,080422,,,A*61"""
91438;2022-04-08 ; 09:59:20 ;" ""Пришла координата: $GPRMC,065920.000,A,6002.63815,N,03019.60289,E,14.1,117.0,080422,,,A*5A"""
91538;2022-04-08 ; 09:59:45 ;" ""Пришла координата: $GPRMC,065945.000,A,6002.63286,N,03019.62341,E,0.1,0.0,080422,,,A*6C"""
91634;2022-04-08 ; 10:00:10 ;" ""Пришла координата: $GPRMC,070010.000,A,6002.63276,N,03019.62420,E,0.0,0.0,080422,,,A*6F"""
91733;2022-04-08 ; 10:00:35 ;" ""Пришла координата: $GPRMC,070035.000,A,6002.61315,N,03019.66851,E,5.5,204.8,080422,,,A*6E"""
91832;2022-04-08 ; 10:01:00 ;" ""Пришла координата: $GPRMC,070100.000,A,6002.60060,N,03019.65769,E,0.1,0.0,080422,,,A*61"""
91932;2022-04-08 ; 10:01:25 ;" ""Пришла координата: $GPRMC,070125.000,A,6002.53533,N,03019.60939,E,5.6,199.7,080422,,,A*6F"""
92040;2022-04-08 ; 10:01:50 ;" ""Пришла координата: $GPRMC,070150.000,A,6002.52123,N,03019.59893,E,12.2,201.5,080422,,,A*50"""
92133;2022-04-08 ; 10:02:15 ;" ""Пришла координата: $GPRMC,070215.000,A,6002.35721,N,03019.48144,E,28.4,200.3,080422,,,A*5C"""
92228;2022-04-08 ; 10:02:40 ;" ""Пришла координата: $GPRMC,070240.000,A,6002.25952,N,03019.40955,E,0.5,205.5,080422,,,A*6F"""
92334;2022-04-08 ; 10:03:05 ;" ""Пришла координата: $GPRMC,070305.000,A,6002.24923,N,03019.40316,E,8.0,202.4,080422,,,A*6E"""
92421;2022-04-08 ; 10:03:30 ;" ""Пришла координата: $GPRMC,070330.000,A,6002.20392,N,03019.35619,E,0.0,0.0,080422,,,A*68"""
92550;2022-04-08 ; 10:03:55 ;" ""Пришла координата: $GPRMC,070355.000,A,6002.20288,N,03019.35496,E,0.2,0.0,080422,,,A*66"""
92678;2022-04-08 ; 10:04:20 ;" ""Пришла координата: $GPRMC,070420.000,A,6002.20074,N,03019.35334,E,0.1,0.0,080422,,,A*6E"""
92797;2022-04-08 ; 10:04:45 ;" ""Пришла координата: $GPRMC,070445.000,A,6002.19906,N,03019.34246,E,0.1,0.0,080422,,,A*6E"""
92896;2022-04-08 ; 10:05:10 ;" ""Пришла координата: $GPRMC,070510.000,A,6002.18747,N,03019.34472,E,2.8,188.8,080422,,,A*66"""
93018;2022-04-08 ; 10:05:35 ;" ""Пришла координата: $GPRMC,070535.000,A,6002.18536,N,03019.34737,E,0.2,0.0,080422,,,A*66"""
93116;2022-04-08 ; 10:06:00 ;" ""Пришла координата: $GPRMC,070600.000,A,6002.13178,N,03019.30329,E,10.1,199.3,080422,,,A*59"""
93214;2022-04-08 ; 10:06:25 ;" ""Пришла координата: $GPRMC,070625.000,A,6002.14614,N,03019.20990,E,0.1,0.0,080422,,,A*6E"""
93317;2022-04-08 ; 10:06:50 ;" ""Пришла координата: $GPRMC,070650.000,A,6002.21113,N,03019.17997,E,5.9,344.4,080422,,,A*63"""
93479;2022-04-08 ; 10:07:15 ;" ""Пришла координата: $GPRMC,070715.000,A,6002.21338,N,03019.17873,E,0.1,0.0,080422,,,A*69"""
93646;2022-04-08 ; 10:07:40 ;" ""Пришла координата: $GPRMC,070740.000,A,6002.31038,N,03019.11238,E,28.4,346.0,080422,,,A*56"""
93760;2022-04-08 ; 10:08:05 ;" ""Пришла координата: $GPRMC,070805.000,A,6002.51799,N,03018.99599,E,29.7,343.3,080422,,,A*5B"""
93862;2022-04-08 ; 10:08:30 ;" ""Пришла координата: $GPRMC,070830.000,A,6002.59419,N,03018.94977,E,0.1,0.0,080422,,,A*65"""
93964;2022-04-08 ; 10:08:55 ;" ""Пришла координата: $GPRMC,070855.000,A,6002.62531,N,03018.93253,E,20.6,344.3,080422,,,A*5A"""
94071;2022-04-08 ; 10:09:20 ;" ""Пришла координата: $GPRMC,070920.000,A,6002.81109,N,03018.82304,E,28.6,343.5,080422,,,A*51"""
94169;2022-04-08 ; 10:09:45 ;" ""Пришла координата: $GPRMC,070945.000,A,6002.99989,N,03018.71607,E,13.0,344.5,080422,,,A*58"""
94263;2022-04-08 ; 10:10:10 ;" ""Пришла координата: $GPRMC,071010.000,A,6003.01069,N,03018.70882,E,0.0,0.0,080422,,,A*61"""
94360;2022-04-08 ; 10:10:35 ;" ""Пришла координата: $GPRMC,071035.000,A,6003.01064,N,03018.70929,E,0.2,332.0,080422,,,A*6B"""
94462;2022-04-08 ; 10:11:00 ;" ""Пришла координата: $GPRMC,071100.000,A,6003.07234,N,03018.67822,E,0.3,171.5,080422,,,A*60"""
94559;2022-04-08 ; 10:11:25 ;" ""Пришла координата: $GPRMC,071125.000,A,6003.15253,N,03018.62240,E,30.6,342.3,080422,,,A*5C"""
94663;2022-04-08 ; 10:11:50 ;" ""Пришла координата: $GPRMC,071150.000,A,6003.25311,N,03018.56628,E,0.1,0.0,080422,,,A*65"""
94780;2022-04-08 ; 10:12:15 ;" ""Пришла координата: $GPRMC,071215.000,A,6003.35636,N,03018.50500,E,32.8,342.4,080422,,,A*50"""
94873;2022-04-08 ; 10:12:40 ;" ""Пришла координата: $GPRMC,071240.000,A,6003.54324,N,03018.37481,E,11.5,340.7,080422,,,A*55"""
94981;2022-04-08 ; 10:13:05 ;" ""Пришла координата: $GPRMC,071305.000,A,6003.57988,N,03018.34584,E,22.2,336.0,080422,,,A*5C"""
95078;2022-04-08 ; 10:13:30 ;" ""Пришла координата: $GPRMC,071330.000,A,6003.73993,N,03018.22946,E,15.1,340.9,080422,,,A*5C"""
95179;2022-04-08 ; 10:13:55 ;" ""Пришла координата: $GPRMC,071355.000,A,6003.77481,N,03018.20959,E,0.1,0.0,080422,,,A*63"""
95286;2022-04-08 ; 10:14:20 ;" ""Пришла координата: $GPRMC,071420.000,A,6003.89826,N,03018.09514,E,35.2,328.1,080422,,,A*55"""
95389;2022-04-08 ; 10:14:45 ;" ""Пришла координата: $GPRMC,071445.000,A,6004.00347,N,03017.92621,E,0.1,0.0,080422,,,A*69"""
95489;2022-04-08 ; 10:15:10 ;" ""Пришла координата: $GPRMC,071510.000,A,6004.04943,N,03017.83977,E,17.6,307.2,080422,,,A*59"""
95585;2022-04-08 ; 10:15:35 ;" ""Пришла координата: $GPRMC,071535.000,A,6004.13914,N,03017.59758,E,23.7,306.9,080422,,,A*52"""
95679;2022-04-08 ; 10:16:00 ;" ""Пришла координата: $GPRMC,071600.000,A,6004.24819,N,03017.30711,E,27.0,307.0,080422,,,A*56"""
95761;2022-04-08 ; 10:16:25 ;" ""Пришла координата: $GPRMC,071625.000,A,6004.32039,N,03017.11611,E,0.1,0.0,080422,,,A*6E"""
95848;2022-04-08 ; 10:16:50 ;" ""Пришла координата: $GPRMC,071650.000,A,6004.32039,N,03017.11611,E,0.3,310.1,080422,,,A*6D"""
95944;2022-04-08 ; 10:17:15 ;" ""Пришла координата: $GPRMC,071715.000,A,6004.36936,N,03016.99202,E,0.2,149.9,080422,,,A*6F"""
96043;2022-04-08 ; 10:17:40 ;" ""Пришла координата: $GPRMC,071740.000,A,6004.42104,N,03016.84948,E,28.8,307.0,080422,,,A*5D"""
96148;2022-04-08 ; 10:18:05 ;" ""Пришла координата: $GPRMC,071805.000,A,6004.54077,N,03016.53902,E,10.1,309.2,080422,,,A*5B"""
96236;2022-04-08 ; 10:18:30 ;" ""Пришла координата: $GPRMC,071830.000,A,6004.54839,N,03016.51967,E,3.9,302.6,080422,,,A*6B"""
96339;2022-04-08 ; 10:18:55 ;" ""Пришла координата: $GPRMC,071855.000,A,6004.56470,N,03016.47710,E,0.1,0.0,080422,,,A*6E"""
96443;2022-04-08 ; 10:19:20 ;" ""Пришла координата: $GPRMC,071920.000,A,6004.63486,N,03016.28078,E,32.5,306.4,080422,,,A*56"""
96548;2022-04-08 ; 10:19:45 ;" ""Пришла координата: $GPRMC,071945.000,A,6004.72509,N,03016.04829,E,3.0,310.3,080422,,,A*66"""
96644;2022-04-08 ; 10:20:10 ;" ""Пришла координата: $GPRMC,072010.000,A,6004.76749,N,03015.94156,E,18.7,315.7,080422,,,A*59"""
96740;2022-04-08 ; 10:20:35 ;" ""Пришла координата: $GPRMC,072035.000,A,6004.92700,N,03015.83332,E,28.4,7.8,080422,,,A*50"""
96834;2022-04-08 ; 10:21:00 ;" ""Пришла координата: $GPRMC,072100.000,A,6005.02539,N,03015.82896,E,1.8,342.8,080422,,,A*66"""
96936;2022-04-08 ; 10:21:25 ;" ""Пришла координата: $GPRMC,072125.000,A,6005.04206,N,03015.81638,E,16.1,344.0,080422,,,A*54"""
97053;2022-04-08 ; 10:21:50 ;" ""Пришла координата: $GPRMC,072150.000,A,6005.23855,N,03015.67275,E,34.1,340.7,080422,,,A*59"""
97151;2022-04-08 ; 10:22:15 ;" ""Пришла координата: $GPRMC,072215.000,A,6005.43764,N,03015.52412,E,28.6,339.7,080422,,,A*55"""
97246;2022-04-08 ; 10:22:40 ;" ""Пришла координата: $GPRMC,072240.000,A,6005.56199,N,03015.43789,E,0.2,0.0,080422,,,A*64"""
97347;2022-04-08 ; 10:23:05 ;" ""Пришла координата: $GPRMC,072305.000,A,6005.67640,N,03015.35035,E,34.1,339.4,080422,,,A*5D"""
97443;2022-04-08 ; 10:23:30 ;" ""Пришла координата: $GPRMC,072330.000,A,6005.93024,N,03015.15648,E,41.8,339.1,080422,,,A*54"""
97547;2022-04-08 ; 10:23:55 ;" ""Пришла координата: $GPRMC,072355.000,A,6006.17703,N,03014.97035,E,20.6,339.0,080422,,,A*55"""
97646;2022-04-08 ; 10:24:20 ;" ""Пришла координата: $GPRMC,072420.000,A,6006.20472,N,03014.94819,E,0.1,0.0,080422,,,A*68"""
97748;2022-04-08 ; 10:24:45 ;" ""Пришла координата: $GPRMC,072445.000,A,6006.25195,N,03014.91255,E,9.1,338.7,080422,,,A*63"""
97844;2022-04-08 ; 10:25:10 ;" ""Пришла координата: $GPRMC,072510.000,A,6006.32341,N,03014.86434,E,0.4,179.2,080422,,,A*66"""
97953;2022-04-08 ; 10:25:35 ;" ""Пришла координата: $GPRMC,072535.000,A,6006.36200,N,03014.81854,E,21.3,335.0,080422,,,A*50"""
98055;2022-04-08 ; 10:26:00 ;" ""Пришла координата: $GPRMC,072600.000,A,6006.48978,N,03014.70499,E,6.4,337.2,080422,,,A*69"""
98160;2022-04-08 ; 10:26:26 ;" ""Пришла координата: $GPRMC,072625.000,A,6006.54723,N,03014.65247,E,11.3,336.0,080422,,,A*50"""
